yearAndColor,tone,panelNo,details,bgColor,manufacturer,colorCode,colorDescription,yearRange,models,modelsWithYears,alternativeCodes,alternativeDescriptions,familyId,sid,make,model,description,url,content,year,color,image_path
,STANDARD,37523,Color Information,"rgba(25, 0, 0, 1)",BMW,C1F,Manufacturer,2017 - 2025,"1 SER. 3 DOOR,1 SERIES,2 SER. CABRIO,2 SERIES,3 SER. LIMOUSINE,3 SER. TOURING,3 SERIES,4 SER. GRAN COUPE,4 SERIES,6 GRAN COUPE,6 SER. CABRIO,6 SER. COUPE,6 SERIES,8 SERIES,M2,M4 COUPE,M8 COUPE,X1,X2","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","C1X,WC1F,WC1X",SUNSET ORANGE-MET.,80923,691afb0a34e432.96897834,BMW,1 SER. 3 DOOR,,/v2/search/family,BMW C1F AYERS ROCK ORANGE-MET. 2017 - 2025,2017 - 2025,AYERS ROCK ORANGE-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/16eefd04acdd36f2509f0dc580830409.png?v=1763375998
,STANDARD,10726,Color Information,"rgb(207, 205, 198)",BMW,300,Manufacturer,1993 - 2025,"1 SERIES,1 SERIES,120,2 ACTIVE TOURER,2 SERIES,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SER. GT,3 SER. GT,3 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SER. GRAN COUPE,4 SERIES,4 SERIES,5 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES,6 SERIES GT,6 SERIES GT,7 SERIES,7 SERIES,8 SERIES,850,I4,IX,M2,M3,M3 COUPE,M3 LIMOUSINE,M4,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M6 COUPE,M760 LI,M8,X1,X2,X3,X4,X5,X6,X7,Z3,Z3 ROADSTER,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","ALPIN WHITE,ALPINE WHITE,ALPINE WHITE III,BRANCO ALPINO","ALPIN WHITE,ALPINE WHITE,ALPINE WHITE III,BRANCO ALPINO",2570,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW 300 ALPINWEISS III 1993 - 2025,1993 - 2025,ALPINWEISS III,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/ac9cd4659f685cc96bf70de8110fcb70.png?v=1763376146
,STANDARD,21329,Color Information,"rgba(0, 0, 1, 1)",BMW,416,Manufacturer,1998 - 2025,"1 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,M3,M3 COUPE,M3 LIMOUSINE,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M6 COUPE,X3,X4,X5,X6,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",M416,"CARBON BLACK-MET.,PRETO CARBONO-MET.",2748,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW 416 CARBONSCHWARZ-MET. 1998 - 2025,1998 - 2025,CARBONSCHWARZ-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/45f36454a9668bae78021f92c3652ad3.png?v=1763376163
Roof,STANDARD,20835,Color Information,"rgba(0, 1, 1, 1)",BMW,475,Manufacturer,2000 - 2025,"1 SERIES,118,120,2 SERIES,2-SERIES GRAN COUPE,3 SER. GT,3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,8 SERIES,I4,IX,M2,M3,M4,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M6 COUPE,M8,X1,X2,X3,X4,X5,X6,X7,Z3,Z3 ROADSTER,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",M475,"BLACK SAPPHIRE-MET.,BLACK SHAPPHIRE-MET.,PRETO SAFIRA-MET.,SAPHIRSCHWARZ-MET.,SAPPHIRE BLACK-MET.",2799,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW 475 BLACKSAPHIR-MET. 2000 - 2025 Roof,2000 - 2025,BLACKSAPHIR-MET.(EU),https://cdn.shopify.com/s/files/1/0600/6938/0246/files/84207cca734ebad5ae6b224d41149fa9.png?v=1763376181
"Bumper, Door Window, Mirror",STANDARD,20863,Color Information,"rgb(27, 27, 28)",BMW,668,Manufacturer,1990 - 2025,"1 SERIES,2 SERIES,3 SERIES,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,850,I3,I8,M3,M3 COUPE,M3 LIMOUSINE,M5,M5 LIMOUSINE,M5 TOURING,X1,X2,X3,X4,X5,X6,Z3,Z3 ROADSTER,Z4,Z8","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","BLACK,BONNET FLUID BLACK,FLUID BLACK,JET BLACK","BLACK,BONNET FLUID BLACK,FLUID BLACK,JET BLACK",2881,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,"BMW 668 SCHWARZ II 1990 - 2025 Bumper, Door Window, Mirror",1990 - 2025,SCHWARZ II,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/5e18715b4eac0ec8bcd325e821f9d5c0_1ff95742-df70-4883-bfbd-0dafe83e9d88.png?v=1763376196
,STANDARD,28628,Color Information,"rgba(113, 114, 108, 1)",BMW,A96,Manufacturer,2008 - 2025,"1 SERIES,1 SERIES,118,120,2 ACTIVE TOURER,2 SERIES,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SER. GT,3 SER. GT,3 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,4 SERIES,5 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES,6 SERIES GT,6 SERIES GT,7 SERIES,7 SERIES,8 SERIES,I4,IX,IX3,M2,M3,M3 COUPE,M3 LIMOUSINE,M4,M4,M6,M8,X1,X1,X2,X2,X3,X3,X4,X4,X5,X5,X6,X6,X7,Z4,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",WA96,"BRANCO MINERAL-MET.,MINERAL WHITE-MET.,MINERALNAYA BELYY-MET.,NANUQ WHITE-MET.",3014,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW A96 MINERALWEISS-MET. 2008 - 2025,2008 - 2025,MINERALWEISS-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/3fef2fd2d1cc82ed9e61ddacd236f4ef.png?v=1763376213
,STANDARD,37523,Color Information,"rgba(25, 0, 0, 1)",BMW,C1F,Manufacturer,2017 - 2025,"1 SER. 3 DOOR,1 SERIES,2 SER. CABRIO,2 SERIES,3 SER. LIMOUSINE,3 SER. TOURING,3 SERIES,4 SER. GRAN COUPE,4 SERIES,6 GRAN COUPE,6 SER. CABRIO,6 SER. COUPE,6 SERIES,8 SERIES,M2,M4 COUPE,M8 COUPE,X1,X2","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","C1X,WC1F,WC1X",SUNSET ORANGE-MET.,80923,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW C1F AYERS ROCK ORANGE-MET. 2017 - 2025,2017 - 2025,AYERS ROCK ORANGE-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/3d9180cd48324b08cedeacb827317dc7.png?v=1763376229
,STANDARD,37540,Color Information,"rgba(0, 1, 1, 1)",BMW,C1M,Manufacturer,2017 - 2025,"1 SERIES,2 ACTIVE TOURER,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SERIES,5 SERIES,6 SERIES,6 SERIES GT,7 SERIES,I5,IX,IX1,IX3,M5,X1,X2,X3,X3,X4,X5,X6,X7","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",WC1M,PHYTONIC BLUE-MET.,79917,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW C1M PHYTONICBLAU-MET. 2017 - 2025,2017 - 2025,PHYTONICBLAU-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/803c8ff03f1008c482849b70d8e4b7dc.png?v=1763376246
,STANDARD,37523,Color Information,"rgba(23, 0, 0, 1)",BMW,C1X,Manufacturer,2017 - 2025,"1 SERIES,2 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,M2,X1,X2","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","C1F,WC1F,WC1X",SUNSET ORANGE-MET.,80924,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW C1X AYERS ROCK ORANGE-MET. 2017 - 2025,2017 - 2025,AYERS ROCK ORANGE-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/69bd40fad8cdf70c2c06ebd8173c4ba0.png?v=1763376262
,STANDARD,35941,Color Information,"rgba(0, 1, 1, 1)",BMW,C3N,Manufacturer,2018 - 2025,"1 SERIES,X1","[object Object],[object Object]",WC3N,,272544,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW C3N STORM BAY-MET. 2018 - 2025,2018 - 2025,STORM BAY-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/0835baf772c60faf14b1e88025a76c6c.png?v=1763376278
,STANDARD,38567,Color Information,"rgba(3, 9, 11, 1)",BMW,C4W,Manufacturer,2020 - 2025,"1 SERIES,M SERIES,M4","[object Object],[object Object],[object Object]",WC4W,,526117,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW C4W SKYSCRAPER GRAU-MET. 2020 - 2025,2020 - 2025,SKYSCRAPER GRAU-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/220f9cae1498554d1126d074b2f6b76c.png?v=1763376293
,STANDARD,39009,Color Information,"rgba(1, 5, 7, 1)",BMW,C5A,Manufacturer,2020 - 2025,"1 SERIES,2 SERIES,2-SERIES GRAN COUPE","[object Object],[object Object],[object Object]",WC5A,FROZEN PURE GREY-MET.,585316,691afb0a34e432.96897834,BMW,1 SERIES,,/v2/search/family,BMW C5A FROZEN PURE GRAY-MET. 2020 - 2025,2020 - 2025,FROZEN PURE GRAY-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/bc3075e99f74158c580ddd82d90e8762.png?v=1763376307
