yearAndColor,tone,panelNo,details,bgColor,manufacturer,colorCode,colorDescription,yearRange,models,modelsWithYears,alternativeCodes,alternativeDescriptions,familyId,sid,make,model,description,url,content,year,color,image_path
,STANDARD,10726,Color Information,"rgb(207, 205, 198)",,300,,,,,,,2570,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW 300 ALPINWEISS III 1993 - 2025,1993 - 2025,ALPINWEISS III,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035580049_52680_2570_6915c9683b5c50.05388397_0.png
,STANDARD,21329,Color Information,"rgba(0, 0, 1, 1)",,416,,,,,,,2748,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW 416 CARBONSCHWARZ-MET. 1998 - 2025,1998 - 2025,CARBONSCHWARZ-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035597689_78461_2748_6915c9683b5c50.05388397_0.png
,STANDARD,20835,Color Information,"rgba(0, 1, 1, 1)",,475,,,,,,,2799,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW 475 BLACKSAPHIR-MET. 2000 - 2025 Roof,2000 - 2025,BLACKSAPHIR-MET.(EU),paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035615160_17705_2799_6915c9683b5c50.05388397_0.png
,STANDARD,21346,Color Information,"rgba(0, 0, 1, 1)",,567,,,,,,,2860,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW 567 BLAU II ALPINA-MET. 2000 - 2025,2000 - 2025,BLAU II ALPINA-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035631350_76253_2860_6915c9683b5c50.05388397_0.png
,STANDARD,20863,Color Information,"rgb(27, 27, 28)",,668,,,,,,,2881,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,"BMW 668 SCHWARZ II 1990 - 2025 Bumper, Door Window, Mirror",1990 - 2025,SCHWARZ II,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035647294_50721_2881_6915c9683b5c50.05388397_0.png
,STANDARD,21346,Color Information,"rgba(0, 0, 1, 1)",,A46,,,,,,,2986,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW A46 BLAU II ALPINA-MET. 2007 - 2025,2007 - 2025,BLAU II ALPINA-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035663458_51489_2986_6915c9683b5c50.05388397_0.png
,STANDARD,28257,Color Information,"rgba(1, 1, 1, 1)",,A90,,,,,,,3012,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW A90 DARK GRAPHITE-MET. 2008 - 2025,2008 - 2025,DARK GRAPHITE-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035680780_49818_3012_6915c9683b5c50.05388397_0.png
,STANDARD,28628,Color Information,"rgba(114, 115, 109, 1)",,A96,,,,,,,3014,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW A96 MINERALWEISS-MET. 2008 - 2025,2008 - 2025,MINERALWEISS-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035696678_95471_3014_6915c9683b5c50.05388397_0.png
,STANDARD,37523,Color Information,"rgba(24, 0, 0, 1)",,C1F,,,,,,,80923,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW C1F AYERS ROCK ORANGE-MET. 2017 - 2025,2017 - 2025,AYERS ROCK ORANGE-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035713698_11118_80923_6915c9683b5c50.05388397_0.png
,STANDARD,35599,Color Information,"rgba(0, 0, 2, 1)",,C1K,,,,,,,95509,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW C1K MARINA BAY BLAU-MET. 2017 - 2025,2017 - 2025,MARINA BAY BLAU-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035731430_64888_95509_6915c9683b5c50.05388397_0.png
,STANDARD,37540,Color Information,"rgba(0, 1, 1, 1)",,C1M,,,,,,,79917,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW C1M PHYTONICBLAU-MET. 2017 - 2025,2017 - 2025,PHYTONICBLAU-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035747758_47193_79917_6915c9683b5c50.05388397_0.png
,STANDARD,37523,Color Information,"rgba(22, 0, 0, 1)",,C1X,,,,,,,80924,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW C1X AYERS ROCK ORANGE-MET. 2017 - 2025,2017 - 2025,AYERS ROCK ORANGE-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035764044_27071_80924_6915c9683b5c50.05388397_0.png
,STANDARD,36893,Color Information,"rgba(0, 0, 7, 1)",,C31,,,,,,,465045,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW C31 PORTIMAO BLAU-MET. 2017 - 2025,2017 - 2025,PORTIMAO BLAU-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035811657_25050_465045_6915c9683b5c50.05388397_0.png
,STANDARD,35831,Color Information,"rgba(33, 0, 0, 1)",,C34,,,,,,,203644,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW C34 SAN FRANCISCO ROT-MET. 2017 - 2025,2017 - 2025,SAN FRANCISCO ROT-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035828770_87009_203644_6915c9683b5c50.05388397_0.png
,STANDARD,35832,Color Information,"rgba(0, 1, 1, 1)",,C35,,,,,,,237274,6915c9683b5c50.05388397,BMW,All Models,,/v2/search/family,BMW C35 BLUE RIDGE MOUNTAIN-MET. 2017 - 2025,2017 - 2025,BLUE RIDGE MOUNTAIN-MET.,paint\colors\BMW\2025\All Models\Related Colors\Color Family\Solid and Effect\1763035846111_24677_237274_6915c9683b5c50.05388397_0.png
